genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wzcagcnnmAAetczaIyizBBByycueoAdurfxFvEejclyBGapvdLyxoDnefFenydntcDeGpKABdKaoflBBGBpmxvsFFucBypBBBvBblrnFAvGBtsBvvnvBxgab",113.000000,0,0,0,15,60,0,0,15,75
"wqjagccoEpCItzGyBLlHEdcwEKEsykbGrtxqdKEvGFbIaDtvoJsxvrCnmIIDqKFGolcznbGstEhzyBscucIpyuvuvooBarpuBBBBrByLLBBBBBBBvfcoxgJu",116.000000,0,0,0,0,270,0,350,0,0
"wzcagcrrxyuDcjIioLbseCcyycuAucoyaJBcyweEqcoEfpuwsmsaBBaevBirABqBBDBBupEBIqtBaBvrBnjwnukfbmABvvBsEBnsaCeLDntEoyzvvfzaxgab",115.000000,0,19,0,38,0,0,152,95,0
"wsjagcvEDvnHCiEdeBzLBEBbcprotqJewvoAypncEaDyrtrBDEpBAaKDBbblInwdcfuyuucBpuurdBKJBvvJBbfgvEmqHyGIzDBBfKBHomrkLaczvBvvxgvm",116.000000,57,0,0,0,19,0,129,0,0
"wojagcBqEErkqCukixxovqwixCvzBxqLvBfyDveeqccbxrauucyEuEupcrBtnBywpoBLLvxuDwdBkurBBBaBKByDvBBBBBgnroeLmzkqbrFBwboyLeuxFjxD",94.000000,143,0,0,28,0,0,0,0,0
"wzcagcvLwbEnktnLqdvjvGweqDwBqyqLIudvxcBrxyurtfpELnKwdcpLjJvlBwksjanyundnqyEDauuBaexxunaBrBByBBBBunlEBufBwBjvzaBvvsbCxgab",115.000000,36,0,0,89,17,0,0,0,0
"wbjagcvdbohJbCfBbLrLxzlyycubAEuJrBuwEvlGpvAEocnBBqqABBvBDEFdBLDtclatBBEBBBGBBLIBBbsbsABLHbdBpDBBspnBBBnBBBLqnlLfvvvvxgHr",114.000000,0,0,0,119,0,339,0,0,0
"wHjagcBfDrijCFHvDDLzqBByycuLuruxoxlBBEnbxLDbyyKyEEvEvtvEBEnKtedFrbBcpuBryGnBfBGaBfGpBmpvBJsBBtpbBBBBBmBeFBGnvBwDvBJvqgIE",114.000000,0,0,0,51,34,0,0,0,322
"wojagcHIFyHHurGEmczvyLjBycuopcuyecpxEtGnIGyJDavqwmsxvHaBBBvyIqEsBGGrbpAbBokaBkaBBsbBdHEELDBucdBvBBfBxBvBvdnBIKBBmvaqxgBH",115.000000,0,60,30,0,0,15,0,0,0
"wyjagcFlyJrDiwzGEuqJswpcKJALCGqdumyycfvqqxuIcubJivfjrpBEsuBBxEBBBBBvBBBBFgasJmlGahHxiCqbAElxrmliieBqgCvuxgmmkLtqddFsBvDq",74.000000,0,0,0,360,0,351,0,0,0
