"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"8k","h",100,10,100000,577231,"wpjagcEqLHHbEIyHKlaAuxyDycujoJucmBlfqsvbGkysqvBEmeuLAxmvytLnGBrmpEcFBLuEAaABavbLBwroBBBBJoBBGswBBxlBlBBqBBBBBuBzvvvvxglh",73.5859,21.78,24,8,8,116,21.67,3
"100k","h",500,33,100000,2440986,"wjjagcvJFcEnAsLaKhabyxioycubAcoloyGbaEnyeKntrFALnayvxpGksfpaKAmxqBdxucBLIdByBvuBtsEnEGvBnEJJBbEJBBBGBBBwBBKwDBkzvvvvxgrm",0.417582,21.81,17,11,11,116,21.76,3
"10k","h",500,45,100000,2620024,"wzcagclIHcahhmczleEGzycywuuopcuLCobrlydtJBCaDFAknAFmIfFjyyABGGwwIscIqtIGyfldKJBBfiBFDJkbpBqquurBsBBAIBJBlBBBqBBzvvvvxgab",0,21.65,20,8,8,116,21.66,3
"10k","h",500,6,100000,2209816,"wzcagcaExrGjflvEAAvlHycAblJbIBuEjwucyGKdadIKdvuuBrBeKqBKydmJquBjBpIBenoBpBetErfryBEptwosvBBnIpyJBBBKwBFBBLsIonozvvvvxgab",16.4078,21.79,18,15,15,117,21.63,3
"100k","h",500,22,100000,1754920,"wpjagcuzGKBfkBHrsIliCayKwoucyKGvAyKubrfoByuuctyDBvEnknBuapBBuFvfLjBeBBtGBBEBrrBGjBBBBBtBoBBBwBEBDbnEJBJIEBpDiaxzvxvvvgIw",0,21.85,31,9,9,119,21.67,3
"1000k","h",200,45,100000,890131,"wzjagcmJnnnEdLFfqreLIyopIKuwarehkDyIusjEIEmvKfocxBqBbKqKByamBGsKssBBsaxBBlEBBBBwlBGwtBukBEoBqlJBwojBovvpqBnvJeBzvvvvxgak",0,21.61,21,13,13,120,21.67,3
"100k","h",500,39,100000,2483276,"wujagctycurByuArmsarFsqcDHwcDFqrBuuGtBIByjAffJloBysBBftGKBvpBwqxcvDBBjterKjjvGjxFBFyvBxBBBBcIdBkBAemGybpBGwJxyBzvvvvxgeb",0,21.79,24,9,9,117,21.6,3
"8k","h",500,16,100000,2172617,"wjaagclzIJjJnxzhmGixkACyyckopcuIKEErDJtbBjunadkfAlEysBdqBtKiJGyuaatJLEDAcKIbycdwsjrcKfmbFsIKJqucBBuBLBaEBBsBByczvvvvxgel",0,21.63,14,13,13,117,21.59,3
"8k","h",100,31,100000,584668,"wujagcqoDrueBrjyucDucLldpaDcBGsEcxhbpJxKBsyJunsBorBwbtqJBdqEyJtBKhmEsBBGeaGeIEeeBJJlqpmmBpewdBsBDrBByBIBLDBpxmJzvvvvxgnJ",0,21.59,23,13,13,120,21.61,3
"10k","h",500,33,100000,2051391,"wcjagcAslskAhjFrxCKzybLGycuouIFoIdHBlCJIyrkLxJGtfbvHskHexiKsLnGIkpdvrvyvakauLrfBxBurpquGBrBBqBkFBBBkBxBeJBHFGkrzvxvvvgDj",28.8423,21.75,16,12,12,118,21.63,3
"8k","h",200,43,100000,1106167,"wCjagcsibDfBixHckkcHDdlyycuLIuwyarFBKEJmjpptaqDEBdJyuEcsdeEmobBrIBABbquuCaGlBqKdxnpBBBvBBBylKBpmBljBIfEjGIBspitzvvvxvgAb",42.5373,21.38,22,11,11,118,21.4,3
"1000k","h",500,24,100000,2760471,"wwjagcEwtorhIBhpHbnCsHpyycurjBumcftcomxlnnldexfreeLxxdwfeoIBErqmytqECaebsKAayrGejAEtAertABBBIjBBBBBAxBBBBBBABBBzvvvvxgda",112.679,21.85,22,15,15,114,21.66,3
