res_ab,pop,mut,repl,upd,dominant_scf,peak_by_dominant,entropy
10k,200,h,27,100000,2.240000,-1,142.599850
10k,200,h,28,100000,18.670000,2,115.281900
10k,200,h,29,100000,2.960000,0,130.048476
10k,200,h,30,100000,12.740000,-1,160.947108
10k,200,h,31,100000,4.160000,0,155.947298
10k,200,h,32,100000,8.690000,-1,177.010505
10k,200,h,33,100000,8.580000,-1,167.417898
10k,200,h,34,100000,6.240000,-1,185.520418
10k,200,h,35,100000,8.510000,-1,164.190592
10k,200,h,36,100000,10.610000,1,159.138736
10k,200,h,37,100000,10.460000,1,170.937826
10k,200,h,38,100000,21.560000,3,152.264654
10k,200,h,39,100000,18.260000,2,149.635324
10k,200,h,40,100000,17.600000,2,154.330664
10k,200,h,41,100000,5.950000,-1,108.730140
10k,200,h,42,100000,18.100000,2,123.138423
10k,200,h,43,100000,10.100000,1,159.105661
10k,200,h,44,100000,4.960000,-1,159.628140
10k,200,h,45,100000,13.340000,-1,172.082484
10k,200,h,46,100000,5.850000,-1,187.300442
10k,200,h,47,100000,10.450000,1,175.959011
10k,200,h,48,100000,8.800000,-1,175.773800
10k,200,h,49,100000,18.040000,2,152.036124
100k,200,h,0,100000,20.120000,-1,143.886630
100k,200,h,1,100000,18.350000,2,127.374028
100k,200,h,2,100000,22.390000,3,137.502420
100k,200,h,3,100000,15.050000,-1,48.223217
100k,200,h,4,100000,8.760000,-1,151.404296
100k,200,h,5,100000,10.460000,1,160.737499
100k,200,h,6,100000,5.790000,-1,139.188014
100k,200,h,7,100000,13.250000,-1,137.964205
100k,200,h,8,100000,21.770000,3,133.786758
100k,200,h,9,100000,3.190000,0,136.431543
100k,200,h,10,100000,3.490000,0,124.245558
100k,200,h,11,100000,5.750000,-1,143.088994
100k,200,h,12,100000,18.010000,2,133.330800
100k,200,h,13,100000,20.550000,3,137.823726
100k,200,h,14,100000,18.300000,2,140.369048
100k,200,h,15,100000,3.650000,0,136.762814
100k,200,h,16,100000,21.390000,3,138.317970
100k,200,h,17,100000,10.400000,1,148.877547
100k,200,h,18,100000,18.020000,2,125.896835
100k,200,h,19,100000,10.320000,1,151.755307
100k,200,h,20,100000,10.440000,1,139.128159
100k,200,h,21,100000,10.560000,1,163.718401
100k,200,h,22,100000,8.680000,-1,157.068273
100k,200,h,23,100000,7.800000,-1,107.006795
100k,200,h,24,100000,17.560000,2,73.833805
100k,200,h,25,100000,13.680000,-1,105.088640
100k,200,h,26,100000,18.320000,2,137.108931
100k,200,h,27,100000,15.140000,-1,113.099891
100k,200,h,28,100000,11.640000,-1,136.106796
100k,200,h,29,100000,18.240000,2,123.446279
100k,200,h,30,100000,17.950000,2,133.071075
100k,200,h,31,100000,18.220000,2,126.513212
100k,200,h,32,100000,17.840000,2,132.295749
100k,200,h,33,100000,21.710000,3,152.177514
100k,200,h,34,100000,10.220000,1,148.874188
