"res_ab","mut","pop","repl","upd","nbits","geno","fit","scf","msg","reg","sense","n_null","del_msg_scf","peak"
"100k","l",500,41,100000,2822245,"wzcagcjCAfEEjBkkBEAAqpByycuopcuccBLBBeyIBybtyBBBBBABBtBrBBBBBtBsBBABBycdccCBrKABaAAfyCIBBaCBBABBynbBBBDBpBBBBEBzvvvvxgab",46.7219,21.45,47,6,6,111,21.48,4
"1000k","l",200,15,100000,1108606,"wzcagclJwAEmmrCyGwxdGEJyycuowAurBBBBtBBBBBurBEjaoBrABBbBBABBABBBpynBytrBfyeGswpIsBrEBnuBBBBBBBBBBBBBBrBBBBBBBBbzvvvvxgab",120.918,21.31,47,3,3,115,20.92,4
"10k","l",200,5,100000,1070909,"wzjagcDkHlEtbscEtxHjlJAyycuoBaurBBtBoGLBBABqBAtBBepjkCAEuBGeKBnBGoEBBBemeABmDtBArBBBfBBBebBJBoBByfBBBBLbBBBBxaBzvvvvxgCb",4.808,21.35,41,10,10,114,21.26,4
"10k","l",500,43,100000,1851396,"wzzagcawDAEKKyklfDprckcnycuopcoyBeABaecGBABuyABfJjaJuquBqorGBABqpyABBtpBEBBpKempEBIBeoJBuBItowryBBBDEprByBGBBBBzvvvvxgtb",16.1185,21.31,29,9,9,114,21.34,4
"10k","l",500,41,100000,2711582,"wzcagccjxdEywaDynomAwqeKycurucqEBufBbyufjBmpBdwGjyuBoBBAfBaBuABErxByEnLDBJdBBBAcJBBadcBBBeuBdDBLBsccBBBBBBBBBsBzvvvvxgab",13.2562,21.38,36,13,13,116,21.2,4
"8k","l",500,9,100000,1930488,"wzcagcofamEhhtfxuqiAeEJyycuopcujBqAjGBBBBoAdBAaBIaIBBErjcjxExBABBjnBbBBDBBBBpABBqArBBAJBLfLBGfeerBBBBIBJBJiyztszvvvvxgab",17.2151,21.38,32,10,10,112,21.43,4
"10k","l",500,43,100000,1851396,"wzzagcaDsBEKcyhlfAprckBnycuopcoyBAABIqjGBABaAIBfADaJuquBaBrBBABBAjABBypBEBeAJsmpEBxBtpJBuBItowryBBBDEpJByBBBBBBzvvvvxgtb",18.549,21.33,34,4,4,110,21.02,4
"10k","l",500,32,100000,2338699,"wzjagceobjEbhmyyIkqzwpnAycuopcGytGAwBEwuuqqcfpsfryALaBuAesoorAwuAwdBBBaBBJBbByByBpBEBuBrBBByBtBBBEBBBBBAGyBJpLBzvvvvxgab",16.3372,21.48,28,7,7,113,21.09,4
"1000k","l",200,33,100000,849326,"wzcagcGtlbEvyCBuEvdAiotyycdqocuycowAAEAAqGxarBjBBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBByBBxBAoBycvnzvvvncvvfcaxgab",0,21.45,37,3,3,112,21.38,4
"10k","l",500,23,100000,1795050,"wzcagcuIdHEyqztBxvHxdlqyycuopcuBBoBvArjBuBjEEjBBpfyLeAodvnumjBnJdIJBBBEkBBkBwmvBABwlGBoyBtyfJdBotrBGBBBBBBBBBGBzvvvvxgab",13.4526,21.44,31,9,9,117,21.6,4
