genome,scf,scf_no_int_bio
wzcagcHtdDEJtavjDbzapEoyycuopcucBBEBBBBBBBBBBBABBBBvykBBBBADBBvDvBBBBvLBBBoBBBBBBvEBBByBBrBtBBayBtABrBBEFBBBBBBzvvHvxgab,18.050000,17.470000
wnjagceqtdEIyauIawfsKtcyycuLwcucByaBIyBBEKBBKAuwsBvamABoBarByBBBBBBvALzBjBlvBBvvmJBjBxEIfnBBBBBvpoyBJBEByBqGBBGzvvrvxgab,18.010000,17.330000
wzcagcLuJLEyjBbCBvvyastyycuopcuyyoqBbvIwDJvoJvudBrfBBBBByBjABBAGBEBBBBvcArBtcBqBBBEBBBBBBBBBBmBBBBBBxBABBEAJBBBzvvcvxgab,17.990000,17.440000
wpjagcocIIEyADAnaeasAuayycucucdBBjEBBBfBBBBBxjuDaBnBqlsBvBbBbBBABjBBDBBABBBBBBBBBBBBpsBBucBByBKBBBBBBfmBEBBBBEBzvxvgGlab,18.040000,0.000000
wzjagcsczIEfnkvvbBwCyBbyycuAucoyyBBBvKBqxuBBfBABBIvoaBBBBuBBBBBlcAIiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb,18.070000,17.320000
wojagcpyEuEjEifxvevbDswyycdjrwuecBBaBBBxjvBBJqABBBjoArBpBBBIBjJBDABBEBdAucBByBItaBvBBoyBbBBBsrvBBBBBBIBBBpBvJBzvvfcaxgab,17.990000,17.830000
wzcagcDvEaExtDBcrHqcqvEyycubpaucABBpbDBbBBBlBBBIBBBBnurBBBBBBBBBBBBvBByBBBBBvBBBBBKEBBBBJBBBBBBbvBBBwpBABBsyBvBzvvvaxgab,18.110000,0.000000
GwjagcCkvvEGDDEdxrCbwkByycuopcuBBBBrBBBBBBBABBBeBBBBBBBBBfBBBBBBBBBDBBBBBBBBBBBBvyBBBBBBlvBGBBvBGBpEaBKIBvBEuaBzvvovxgax,18.130000,17.780000
wzcagcqvatEvHpEfvjLeIqnyycuopcucIIxBxEBDyBBjLqpDocBwBDLixAqBbJBytrBLBBBLvBwyBIBBAAoBvEBsBBqJrBBBBBubykBpnBxBvtyzvvvLxgab,17.960000,18.010000
wzcagcwyxjEIirqmIJuAJyuuyuuopcuycEGGvGIoeducIEBBrABfvyBBBwBBBdBGBvBpcBvBBBBBBBtBvBBvBBBBBBBpEsBBBBBBsBByBBBBBBBzvvvcxgab,18.110000,17.520000
wmjagcDvHcEvxsEBvtLzIuayycuopcucBKIBAEKKyKBeBdAJcplcwfkjxtwBbJqytruLpxnJvanybAcAAxABvEBsBaqArBBBBBBdBBBBBBkBvryzvvvaxgHA,17.950000,17.660000
wzcagcDzCvEbBIflAzAnbmIyycuopcucyByBjJtodyBBdBEtcBmBxyBBypBEBDbBoEvlDLkscBDBffyxuBBfbdwBBBmnLfByBqBBxecfwedbBqzvvfcaxgab,17.970000,18.160000
wzcagcyrlLEsadavyjsljbdyycubucByLEABnBBxBnBBBvvDBBABpBxqJBBwABBlAEJBKwBsBBurvByBLEvBBBvBBBBBBbBBBBBBBBsBocBByBBzvvyvxgab,18.070000,18.040000
wzcagcsbBaEkEIjecndHvvCyycuopcuycAAdbrduBvBGpBsBBBBBvBBBBBvEBBBByBEjBBBBBBBBBvBBBKDtBytBaBBBaBrBBBBBBBBBBBBBBBBzvvBvxgab,17.990000,18.020000
wnjagciqddEIqaAJfLfjctdyycuLwducByfdIyIBEKBjBAuwsBvamABoBarBbBBBBBBvALEBBBlvBBvvmKBjBBEJBIBBBBBvpoqBbBEByBqGBBnzvvAvxgab,18.080000,17.700000
wpjagcocIIEyADAnaeasAuayycucucdBBjEBBBfBBBBBxjjDaBnBqAsBvBbBbBBABjBBDBBABBBBBBBBBBBBpsBBucBByBKBBBBBBfmBEBBBBEBzvxvgGlab,18.040000,0.000000
wzcagcwyxjEAirqjIJLAkyuuyuuopcuycEGGvjIoeKucIEBBrBBfvyBBBwBBBBBGBvBpcBvBIBBBBBBBvBBvBBBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab,17.990000,17.450000
wzcagcuIJLEyjzbsmvvBaatyycuopcuyyjqBbvaKDJvLJvuJBrBBJBBByBjABBBDBEBBbBvcArBtcBjBBBEBBBBBBBBBBmBBBBBBeBABBEBwBBBzvvhvxgab,18.100000,17.590000
wzcagcsbBaEkEBjecndmvvCyycuopcuycAAdbrduBvBGpBsBBBBBvABBBBvEBBBByBEjBBBBBBBBBvBBBKutBytDaBBBaBrBBBBBBBBBBBBBBBBzvvBvxgab,18.090000,17.720000
wzcagcwyxjEAirqjIJLAJyuuyuuopcuycEGGvjIoeKucIEBBrBBfvyBBBwBBBBBGBvBpcBvBIBBBBBBBvBBvBbBBBBBpEBBBBBBBsBByBBBBBBBzvvvcxgab,18.050000,17.740000
wzcagcptavEnjxHqfffCjbqyycuopcudIBadBEbvcxBaAdcqojrBvBBAEDEBxBBoyByBAABBBttrsByqAscBBBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab,18.110000,17.560000
wzcagcHtbDEJtavjDbzanEoyycuopcucBBEBBBBBBBBBBBABBBBvykBBBBAkBBvDvBBBBvLBBGoBBBBBBvEBBByBBBBtBBayBtABrBBEFBBBBBBzvvHvxgab,18.070000,17.560000
wojagcpyEuEjEifxvevbbswyycujrwuecBBanBBxjvBBJqABBBjoArBpBBBIBjJBDABBEBdAucBBypItaBvBBoyBbBBBsrvBBBBBBIBBBpBvJBzvvfcaxgab,18.140000,17.480000
wzcagcvxqqEyndawpvsbCyodycuoucByBBBptBBBBBBBBBByBBBlbvBBBAvkBBBorbtcBecvBBBvBBEBBwEByBoBpoBoLsJsItbbKBBBBKqBuEBzvJvvxgab,18.000000,17.960000
wzcagclymGEwCluqLyDDaEAyycuoucByBpBGEytnBxrBKoBBBJewtBJwKsBpBnBBBiBmAuAjucBBEnBBBBByBbBJuBBBjjBnfaBABBBytGyccJzvvfcaxgab,18.110000,18.110000
wHjagcxrEsEbEBHkvtvxexkyycuopcueKDBxBKAdDvBoGGxBDIofwrBIBBBBBBByBBBBEBJAnpBDyrDcGJvAdtkICBBmIBvBJBdDycCBABBvBozvvfcaxgab,18.090000,17.810000
wzjagcsczIEfnkvvbBwCyBbcycuoucoyyBBBvKBqxuBBfBABBIvoaBBBBuBBBBBlcAAiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb,18.070000,17.320000
wzcagcDbuAEBADxvDfxvdHbyycuoirByvmEnqBKyvBBqBBvEKBffBBBbAmDAKwBBBsBrBBBBvBByBBBBBBlEBBBBBBBBBBBBByBBBBBBBBBBBBBzvvvAxgab,18.080000,17.240000
wnjagcsqddEIqaAJfLfjctdyycuLwducByfdqyIBEKBjBAuwsBvamABoBarBbBBBBBBvALEBBBlvBBvvmKBjBBEJBIBBBBBvpoqBbBEByBqGBBnzvvAvxgab,18.080000,17.700000
wzcagcJBGvEBjwCBAKbnLufyycuopcucyByBIJtobyBBBBEtcJuBfytBypoEBDBBoEvlDJkscBDBwfybuBAGsBwnBBBIKLryBbaBeoGdwedABqzvvfcaxgab,18.080000,18.120000
wzcagcmbfkEjAjiLCuqIeKcyycuowcuycrElbvBBBpAqBfBBABBByBlAptnjBrBvvBBByuJBBBByBBBBBBBBBBBpdBBBEBBBBBBBBBBBBEBBBBvzvvxgxcab,17.990000,0.000000
wzcagcauICEaIssbwlvAjGuyycuopcucBBIBBBbBBByBEBBBBnBBBBGBpBBBkBBkvsGBaByBvtyjBtJBBBrBBLBBBBEBEBBBBBvpBBBBvuBBvBzvvfcaxgab,18.090000,17.910000
wzcagcsbBaEkEajecnsmvvCyycuopcuycAwdbrduBvBGpBsBBBBBvABBBBvEGBBByBEjBBBBBBBBBvBBBKDtBytBaBBBaBrBBBBBBBBBBBBBBBBzvvBvxgab,18.000000,18.020000
wzcagcmbfkEjojqxCuqIeKcyycuowcuycrElbvBBBuAqBBBBABBByBBAptnjBrBvvBBByuBBBBByBBBBBBBBdBBpdBBBEBBBBBBBBBBBkEBBBBvzvvxgxcab,18.090000,0.000000
wtjagcAuybEvddqjbHmLzzCyycuobcuycBaBEodvypyBjjbABucuBoyyaudxBlBvAkBeDBAvBbBDkvorpyEBpucBBByBEyBBBBBBBBvBBBBBByBzvvBvxgaj,18.020000,18.150000
wojagcuEouElomvmhAvwlvtyycuoebuyciAfwfAEvaDbdrbBICaBBxAyBBvjDbBbBqBBBBGBfpBEBBvuBBBucBBBBBBBBBBBBBBBBBBBBBBBBBBzvvvaxgab,17.990000,17.540000
wzjagcsczIEfnkvvbBwCyBbyycuAucoyyBBBvKBqAuBBfBABBIvoaBBBBuBBBBBlcAIiABbrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb,18.070000,17.320000
wfjagcIHCyEBpBGpmvuqAJwyycuopcuryBBBBBBBAuBABpbBIBBDBLgBBBwKBBnBGBBBBvBBBJeBBBvBvpBsBAByBtEABrBBBBBBEBBBBEBBBBBzvvfaxghb,17.950000,17.520000
wzcagcurqAEjyuovoDzvpcmpyuuopcuycIqIvoBaBaerpBBBBBoBBelBbBBBBBvBKyjBvBBBBBBABBBvEBBBBwBEmJBBABBBEAysdywkBDpaBBBzvvvaxgab,18.130000,17.470000
wzjagcsczIEfnkvvbBwCyBbcycuoucoyyBBBvtBqxuBBfBABBIvoaBBBBuBBBBBlcAAiABJrBBqBpuArBBBKBBBBBBBBEBBBtBBBBBBBBBBEBBEzvvfaxgjb,17.950000,17.180000
wzcagcCrqLEyjzbCBvvHastyycuopcuyyocBbvawdJvLJvuGBrBBBBBByBjABBAGaEBBxBvcArJtcBjBBBEBBBBBBBBBBmBBBBBBxBABBEAwBBBzvvGvxgab,18.000000,17.400000
wzcagcHpdDEJtavjytzaHECyycuopcucBBEBBBqBBBBBBBABBBBvykBBBBALBBvDvBBBBvLBBBbBBBBBBvEBBByBBBBtBBByBtABrBBEFBBBBBBzvvHvxgab,17.970000,17.860000
wzcagcurqAEjyuovcDzvpcmpyuuopcuycIqIvoBaBaerpBBBBBoBBelBbBBBBBvBKyjBvBBBBBBABBBvEBBBBwBEmJBBABBBEAysdywkBDpaBBBzvvvaxgab,18.130000,17.490000
wzcagcDbuGEBADxvDqxvdHtyycuoGrByvBEnqBtyvBBqBBvEKBffBBBbAmDGKwBBBsBrBBBBvBByBBBBBBsEBBBBBBBBBBBBByBBBBBBBBBBBBBzvvvaxgab,18.120000,17.430000
wzcagcybdaEBkBavyjlAszjyycuwucByLEABwBBxBsBBBvvnBBAIpBAqbBBBABBlAEJBKIBsBBurvByBbEvBBBvBBBBwBFBBBBBBBBsBwcBByEBzvvcvxgab,18.020000,17.500000
