genome,merit,task.0,task.1,task.2,task.3,task.4,task.5,task.6,task.7,task.8
"wzcagcGrCxEbuHitAotbrfqyycuopcuEBLqJwyjlbBBBuLBLJyoLwBfwnLdDuoDErBByEnDfjdaIfcsIIIIxBDwKBBuBAdBJrscByBBBBBBBBBBzvvvvxgab",117.000000,0,7,1,0,0,0,0,0,0
"wzzagcqDraEKJynlscpAejjnycuopcJymAABIABxBGBpaGBfByJJuGuKnBrGBLBBBpABoBABEBAoseCpEBIBGoxBuBAtowryBBBAEBfBABBBBBBzvvvvxgab",116.000000,8,0,0,0,13,0,11,0,0
"wzcagcGtmwEvyCBuEvJAmotyycuqocuycowAAEAAqGxarBBBBBBBBBBDqBJBApBABByBBrBBwBvBbtBaErJBBvBBBBBBBBBBxBAoBycvnzvvvhcvvfcaxgab",117.000000,0,0,0,18,0,0,16,0,0
"wzcagcrDimEbapkCAccBjBByycuIucGyKIBBBsBBBpBBEBbjBBBnaIBIBmBBBBBEBBBBBABBBbkBBBBmBABBBGBBBBBJBsBABBBucBBBBBbBEBqzvvvvxgab",118.000000,0,1,0,45,0,0,0,0,0
"wzcagcEjDJEqyiDAylaAEoryyauopcuyBAuGAsBBtbBBadDGuuABqqqtsrBxBBBAdBBjBBBBApuBdIuBbKJBErBLBBBBBBBBBLBBBBBBByycudDzvvvvxgab",118.000000,0,5,1,15,0,18,0,0,0
"wzzagcckraEKxyntscpAezjnycuopcJyBAABIIBxBGBpaGGfBLJJuGuKJBrlBLBBBpABoBABEBAoseCpEBIBGoxBuBAtowryBBBAEBfBABBBBBBzvvvvxgBb",114.000000,8,0,0,0,13,0,11,0,0
"wzcagclJwAEmmrCyGwndGEJyycuowAurBBBBtBBBBBurBEjaoBrABBbBBABBABBBpynBytrBfyeGswpIsBrEBnuBBBBBBBBBBBBBBrBBBBBBBBbzvvvvxgab",118.000000,0,0,0,21,0,0,0,15,8
"wzcagcmlnxEHakcjbGBELiyyycurEBuDcBobBwbHcahbbhsEhscujBaByBBBBBBpBBBBbBBBqucBBByBBsBBBBBBBBBBBBBByBBBBBBBBBBBBBBzvvvvxgab",120.000000,0,0,0,0,0,0,0,0,0
"whjagchbaxEICGJHArqzwqnLycuopcdloBlAjElCILDAqanGnyyIuoueejborBDBxcfBBBwBBbBJcyBBtpBEBuLrBjByBBBBBEpBBBBBKhBBBdBzvvvvxgak",115.000000,2,0,0,0,13,0,16,0,0
"wzcagcAazDEkaiDprIyrmbJyucuopcucEBExByDBBBbBauJBtxBBqmBBBBIwBLlnBByAmwsBBEIBBnBrBbBwyBylwBepBBwBduBABuBrBBBBBxBzvvvvxgab",117.000000,0,0,0,1,10,21,6,0,0
"wzcagcDkrBEIsuBItKAADilyycuopcurJBByJkfBABptnyBABbtAEBoytryEAGAEBGlBByBjdBpscBpBBBwqItBoeBLoBbBnrBdyBBBBBmoBBBBzvvvvxgab",117.000000,0,2,8,0,0,6,0,9,10
"wzcagcwtjpEjhahaaaiEGEkyycueroucBwDJExmABBcdBxBDkypABAdqaBAutrBadqocjjyjsBaBBwBdBrBBBkByjwBBBByBxBBByxBBuBnBBBBzvvvvxgab",116.000000,0,0,0,8,0,0,0,20,0
"wzcagcCdbAEEDBDkjEGsAAByycuopcucJBABwqyLByBtyBBBBBfBBtBrBBBBBBBsBBABBycrkcCIbAcBadyyczAGqDCBBAGBBBABByKBBBBABEBzvvvvxgab",118.000000,0,1,12,0,0,13,0,0,0
"wzcagcDyrBEInuBItKAADilyycuopcurJGByJkfBABptnyBABbtAEBoytryEAGAEBGlBByBjdBpscBpBBBwqBtBoeBLoBbBnrBdyBBBBBmoBBBBzvvvvxgab",118.000000,0,2,7,0,0,6,0,10,10
"wyzagctaKzEhotaEDpEItDyJycuoLruyaeBGEBoBdrmAcBpAxccxBBBKvxBardnIqAxGroxucBBqBBBcaruuytBBnGqBIxxrBBBGtpBBurBBBBBzvvvvxgub",114.000000,5,3,0,8,5,5,0,0,0
"wzcagccjxdEywDDmnoxAxbeKycurucBEuufBbyBGjotBBdwulyuBoBBAABaBuABErxByEnLDBBfBBBAcJBBIGcBBBeuBdDBjBsccBBBBBBBBBoBzvvvvxgab",117.000000,1,0,0,11,14,10,0,0,0
"wzcagcCdbAEECwDkaEGAAAByycuopcucJBABwqyLByBtyBBBBBxBBtBrBBtBBBBsBBAtBycHkcCIbAcBadlyczoGqDCBByGBBBABByxBBBBJBEBzvvvvxgab",118.000000,0,1,12,0,0,11,0,0,0
"wzcagckrqxEittAtdKGrdfqyycuopcuEcqGJwyjdbBuBBLBmJyjLwBfDxxdAuoaErBByEnDcjdaafcsIbIfxBDwoBGuBAcBfrscByBBBBBBBBBBzvvvvxgab",116.000000,0,6,1,7,0,0,0,0,0
